name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
COLORFUL BATTLE-AX B760M-PLUS V20 D5 STCOM,153140,1700,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A WIFI STCOM,153420,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
MSI PRO B760M-A WIFI,153640,1700,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
ASRock B850M-X R2.0 에즈윈,154200,AM5,DDR5,PCIE5.0X16,MATX,8200.0,2026-04-20 15:30:38.871935
GIGABYTE B760M AORUS ELITE GEN5 피씨디렉트,154280,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASRock B760M Pro RS D5 디앤디컴,154890,1700,DDR5,PCIE5.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-A STCOM,155640,1700,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A WIFI-CSM STCOM,155750,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE B650EM DS3H WIFI6E 피씨디렉트,158140,AM5,DDR5,PCIE5.0X16,MATX,8200.0,2026-04-20 15:30:38.871935
MSI PRO B650M-A,158770,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS H810M AYW GAMING WIFI STCOM,158960,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS TUF Gaming B550M-PLUS STCOM,159000,AM4,DDR4,PCIE4.0X16,MATX,4800.0,2026-04-20 15:30:38.871935
GIGABYTE B850M FORCE 제이씨현,159380,AM5,DDR5,PCIE5.0X16,MATX,9600.0,2026-04-20 15:30:38.871935
ASRock B850M-X R2.0 대원씨티에스,159760,AM5,DDR5,PCIE5.0X16,MATX,8200.0,2026-04-20 15:30:38.871935
GIGABYTE A620M GAMING X 피씨디렉트,160230,AM5,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H610I D4 듀러블에디션 피씨디렉트,160230,1700,DDR4,PCIE4.0X16,,3200.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-K 코잇,160270,1700,DDR5,PCIE4.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
ASUS H810M AYW GAMING WIFI-CSM STCOM,160650,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
MAXSUN e스포츠 B850M WIFI ICE 디앤디컴,161630,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
ECS H610H7-TI5 코잇,161780,1700,,,,3200.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H WIFI6E D4 GEN5 피씨디렉트,161970,1700,DDR4,PCIE5.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
GIGABYTE B760M AORUS ELITE GEN5 제이씨현,162030,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASRock B860M-X Gen5 에즈윈,162560,1851,DDR5,PCIE5.0X16,MATX,9066.0,2026-04-20 15:30:38.871935
